"2020","전라북도","전주시 완산구","전동",95,46,48,1,0,0,3,9,76,7,2,20,15,23,18,11,6,0,0,0,0,0,0,0,1,1,7,8,22,6,13,8,9,6,3,6,3,0,1,1,0
"2020","경상북도","문경시","흥덕동",17,4,10,3,0,0,2,12,2,1,0,0,2,5,2,8,0,0,0,0,0,0,0,0,0,0,2,4,0,4,3,1,1,1,1,0,0,0,0,0,0
"2020","경상북도","구미시","공단동",79,29,42,8,0,0,13,33,21,12,4,19,12,6,18,12,8,0,0,0,0,0,0,0,2,3,7,11,8,4,4,4,15,2,5,7,6,0,0,0,1
"2020","경상남도","하동군","하동읍",85,38,43,4,0,0,0,6,75,4,0,11,26,19,13,14,2,0,0,0,0,0,0,0,0,0,11,12,8,8,11,6,8,4,8,5,1,2,0,0,1
"2020","서울특별시","강남구","수서동",102,44,56,2,0,1,6,29,58,8,2,16,18,31,17,16,2,1,0,0,0,0,0,4,0,1,8,14,10,8,16,8,11,5,5,7,0,2,2,0,0
"2020","서울특별시","마포구","아현동",430,186,224,20,0,0,7,17,394,12,5,97,80,81,74,81,12,3,0,0,1,0,0,0,0,5,35,44,65,43,55,39,39,39,28,12,13,6,2,1,0
"2020","서울특별시","금천구","시흥동",540,250,271,19,0,2,54,72,369,43,4,107,100,101,103,97,28,5,1,2,1,1,0,1,0,2,44,64,73,64,60,57,50,35,24,17,7,7,8,7,10
"2020","서울특별시","서초구","양재동",261,129,103,29,0,1,42,61,126,31,6,45,48,63,48,47,4,2,0,0,0,1,1,0,0,3,25,28,30,21,24,35,34,15,16,6,8,6,4,1,1
"2020","서울특별시","마포구","합정동",55,19,26,10,0,0,3,14,35,3,1,8,11,7,15,10,3,1,0,0,0,0,0,0,0,2,2,9,5,4,7,7,6,5,1,2,0,0,1,3,0
"2020","서울특별시","종로구","종로2가",11,7,3,1,0,0,4,3,3,1,0,2,3,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,0,0,1,1,0,0
"2020","대구광역시","중구","동인동2가",20,13,6,1,0,0,1,7,10,2,0,1,5,9,1,3,1,0,0,0,0,0,0,0,1,0,1,6,2,1,1,1,0,3,3,0,0,0,0,0,1
"2020","인천광역시","연수구","옥련동",251,53,188,10,0,1,20,164,61,5,2,55,38,53,52,47,4,0,0,0,0,0,0,1,0,3,41,29,28,25,28,35,29,9,11,3,2,3,2,2,0
"2020","대구광역시","동구","불로동",31,8,22,1,0,0,4,6,18,3,0,10,4,6,4,7,0,0,0,0,0,0,0,0,0,0,1,4,5,3,4,5,0,2,1,3,2,1,0,0,0
